model,length,hops,hop_distance,n_total,n_success,n_error,coverage,error_rate,score_mean,score_all,f1_mean,rouge_l_mean,latency_mean
qwen35_122b_a10b,32000.0,3.0,far,2,2,0,1.0,0.0,1.0,1.0,,,7.2638
qwen35_122b_a10b,32000.0,3.0,medium,2,2,0,1.0,0.0,1.0,1.0,,,18.0663
qwen35_122b_a10b,32000.0,3.0,near,4,4,0,1.0,0.0,1.0,1.0,,,16.9627
qwen35_122b_a10b,32000.0,4.0,far,1,1,0,1.0,0.0,1.0,1.0,,,7.3787
qwen35_122b_a10b,32000.0,4.0,medium,1,1,0,1.0,0.0,1.0,1.0,,,16.6565
qwen35_122b_a10b,32000.0,4.0,near,2,2,0,1.0,0.0,1.0,1.0,,,3.9286
qwen35_27b,8000.0,2.0,medium,3,3,0,1.0,0.0,1.0,1.0,,,4.6035
qwen35_27b,8000.0,2.0,near,3,3,0,1.0,0.0,1.0,1.0,,,7.4215
qwen35_27b,8000.0,3.0,near,3,3,0,1.0,0.0,1.0,1.0,,,20.6551
qwen35_27b,8000.0,4.0,near,3,3,0,1.0,0.0,1.0,1.0,,,8.125
qwen35_27b,16000.0,2.0,far,4,4,0,1.0,0.0,1.0,1.0,,,8.6073
qwen35_27b,16000.0,2.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,5.7056
qwen35_27b,16000.0,2.0,near,4,4,0,1.0,0.0,1.0,1.0,,,16.3047
qwen35_27b,16000.0,3.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,5.2717
qwen35_27b,16000.0,3.0,near,4,4,0,1.0,0.0,1.0,1.0,,,4.6813
qwen35_27b,16000.0,4.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,4.3107
qwen35_27b,16000.0,4.0,near,4,4,0,1.0,0.0,1.0,1.0,,,4.8609
qwen35_27b,32000.0,2.0,far,4,4,0,1.0,0.0,1.0,1.0,,,8.484
qwen35_27b,32000.0,2.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,8.6066
qwen35_27b,32000.0,2.0,near,4,4,0,1.0,0.0,1.0,1.0,,,8.9307
qwen35_27b,32000.0,3.0,far,4,4,0,1.0,0.0,1.0,1.0,,,9.1854
qwen35_27b,32000.0,3.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,8.6334
qwen35_27b,32000.0,3.0,near,4,4,0,1.0,0.0,1.0,1.0,,,9.1386
qwen35_27b,32000.0,4.0,far,3,3,0,1.0,0.0,1.0,1.0,,,30.5148
qwen35_27b,32000.0,4.0,medium,3,3,0,1.0,0.0,1.0,1.0,,,11.1567
qwen35_27b,32000.0,4.0,near,3,3,0,1.0,0.0,1.0,1.0,,,8.8369
qwen35_35b_a3b,8000.0,2.0,medium,3,3,0,1.0,0.0,0.3333,0.3333,,,2.0806
qwen35_35b_a3b,8000.0,2.0,near,2,2,0,1.0,0.0,0.0,0.0,,,2.2785
qwen35_35b_a3b,8000.0,3.0,near,2,2,0,1.0,0.0,0.5,0.5,,,1.8087
qwen35_35b_a3b,8000.0,4.0,near,3,3,0,1.0,0.0,1.0,1.0,,,2.1958
qwen35_35b_a3b,16000.0,2.0,far,3,3,0,1.0,0.0,0.0,0.0,,,20.0999
qwen35_35b_a3b,16000.0,2.0,medium,4,4,0,1.0,0.0,0.0,0.0,,,1.7981
qwen35_35b_a3b,16000.0,2.0,near,4,4,0,1.0,0.0,0.25,0.25,,,2.7131
qwen35_35b_a3b,16000.0,3.0,medium,4,4,0,1.0,0.0,0.75,0.75,,,2.5903
qwen35_35b_a3b,16000.0,3.0,near,4,4,0,1.0,0.0,0.75,0.75,,,3.0029
qwen35_35b_a3b,16000.0,4.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,2.3229
qwen35_35b_a3b,16000.0,4.0,near,4,4,0,1.0,0.0,1.0,1.0,,,2.1527
qwen35_35b_a3b,32000.0,2.0,far,4,4,0,1.0,0.0,0.0,0.0,,,4.0285
qwen35_35b_a3b,32000.0,2.0,medium,4,4,0,1.0,0.0,0.5,0.5,,,3.619
qwen35_35b_a3b,32000.0,2.0,near,4,4,0,1.0,0.0,0.0,0.0,,,3.8215
qwen35_35b_a3b,32000.0,3.0,far,4,4,0,1.0,0.0,0.75,0.75,,,3.4422
qwen35_35b_a3b,32000.0,3.0,medium,4,4,0,1.0,0.0,0.75,0.75,,,3.8501
qwen35_35b_a3b,32000.0,3.0,near,4,4,0,1.0,0.0,0.75,0.75,,,16.5836
qwen35_35b_a3b,32000.0,4.0,far,3,3,0,1.0,0.0,1.0,1.0,,,3.3333
qwen35_35b_a3b,32000.0,4.0,medium,3,3,0,1.0,0.0,1.0,1.0,,,23.0642
qwen35_35b_a3b,32000.0,4.0,near,3,3,0,1.0,0.0,1.0,1.0,,,4.0736
qwen35_35b_a3b,64000.0,2.0,far,3,3,0,1.0,0.0,0.0,0.0,,,8.3007
qwen35_35b_a3b,64000.0,2.0,medium,3,3,0,1.0,0.0,0.0,0.0,,,6.5438
qwen35_35b_a3b,64000.0,2.0,near,2,2,0,1.0,0.0,0.0,0.0,,,6.3548
qwen35_35b_a3b,64000.0,3.0,far,3,3,0,1.0,0.0,0.6667,0.6667,,,7.0281
qwen35_35b_a3b,64000.0,3.0,medium,3,3,0,1.0,0.0,0.6667,0.6667,,,23.9519
qwen35_35b_a3b,64000.0,3.0,near,2,2,0,1.0,0.0,0.5,0.5,,,5.8585
qwen35_35b_a3b,64000.0,4.0,far,3,3,0,1.0,0.0,1.0,1.0,,,4.6921
qwen35_35b_a3b,64000.0,4.0,medium,3,3,0,1.0,0.0,1.0,1.0,,,7.246
qwen35_35b_a3b,64000.0,4.0,near,3,3,0,1.0,0.0,1.0,1.0,,,46.7575
qwen35_9b,8000.0,2.0,medium,3,3,0,1.0,0.0,1.0,1.0,,,1.5953
qwen35_9b,8000.0,2.0,near,3,3,0,1.0,0.0,1.0,1.0,,,3.7723
qwen35_9b,8000.0,3.0,near,3,3,0,1.0,0.0,1.0,1.0,,,1.8399
qwen35_9b,8000.0,4.0,near,3,3,0,1.0,0.0,1.0,1.0,,,2.3906
qwen35_9b,16000.0,2.0,far,4,4,0,1.0,0.0,1.0,1.0,,,2.6493
qwen35_9b,16000.0,2.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,2.3378
qwen35_9b,16000.0,2.0,near,4,4,0,1.0,0.0,1.0,1.0,,,3.1196
qwen35_9b,16000.0,3.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,2.9797
qwen35_9b,16000.0,3.0,near,4,4,0,1.0,0.0,1.0,1.0,,,3.1377
qwen35_9b,16000.0,4.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,3.19
qwen35_9b,16000.0,4.0,near,4,4,0,1.0,0.0,1.0,1.0,,,2.8225
qwen35_9b,32000.0,2.0,far,4,4,0,1.0,0.0,1.0,1.0,,,4.2179
qwen35_9b,32000.0,2.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,5.4221
qwen35_9b,32000.0,2.0,near,4,4,0,1.0,0.0,1.0,1.0,,,8.672
qwen35_9b,32000.0,3.0,far,4,4,0,1.0,0.0,1.0,1.0,,,4.8007
qwen35_9b,32000.0,3.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,5.083
qwen35_9b,32000.0,3.0,near,4,4,0,1.0,0.0,1.0,1.0,,,5.6163
qwen35_9b,32000.0,4.0,far,3,3,0,1.0,0.0,1.0,1.0,,,5.0685
qwen35_9b,32000.0,4.0,medium,3,3,0,1.0,0.0,1.0,1.0,,,5.9819
qwen35_9b,32000.0,4.0,near,3,3,0,1.0,0.0,1.0,1.0,,,6.4913
qwen35_9b,64000.0,2.0,far,3,3,0,1.0,0.0,1.0,1.0,,,8.5399
qwen35_9b,64000.0,2.0,medium,3,3,0,1.0,0.0,1.0,1.0,,,9.4256
qwen35_9b,64000.0,2.0,near,3,3,0,1.0,0.0,1.0,1.0,,,9.5756
qwen35_9b,64000.0,3.0,far,3,3,0,1.0,0.0,1.0,1.0,,,10.7726
qwen35_9b,64000.0,3.0,medium,3,3,0,1.0,0.0,1.0,1.0,,,7.3596
qwen35_9b,64000.0,3.0,near,3,3,0,1.0,0.0,1.0,1.0,,,8.8352
qwen35_9b,64000.0,4.0,far,3,3,0,1.0,0.0,1.0,1.0,,,9.8772
qwen35_9b,64000.0,4.0,medium,3,3,0,1.0,0.0,1.0,1.0,,,8.8902
qwen35_9b,64000.0,4.0,near,3,3,0,1.0,0.0,1.0,1.0,,,9.5778
qwen3_14b_no_thinking,8000.0,2.0,medium,2,2,0,1.0,0.0,1.0,1.0,,,2.5252
qwen3_14b_no_thinking,8000.0,2.0,near,2,2,0,1.0,0.0,0.5,0.5,,,2.6918
qwen3_14b_no_thinking,8000.0,3.0,near,1,1,0,1.0,0.0,1.0,1.0,,,2.2249
qwen3_14b_no_thinking,8000.0,4.0,near,2,2,0,1.0,0.0,1.0,1.0,,,1.8502
qwen3_14b_no_thinking,16000.0,2.0,far,3,3,0,1.0,0.0,0.3333,0.3333,,,4.8904
qwen3_14b_no_thinking,16000.0,2.0,medium,2,2,0,1.0,0.0,0.5,0.5,,,3.6238
qwen3_14b_no_thinking,16000.0,2.0,near,1,1,0,1.0,0.0,0.0,0.0,,,2.4291
qwen3_14b_no_thinking,16000.0,3.0,medium,2,2,0,1.0,0.0,1.0,1.0,,,2.9326
qwen3_14b_no_thinking,16000.0,3.0,near,2,2,0,1.0,0.0,1.0,1.0,,,4.4065
qwen3_14b_no_thinking,16000.0,4.0,medium,1,1,0,1.0,0.0,1.0,1.0,,,4.492
qwen3_14b_no_thinking,16000.0,4.0,near,3,3,0,1.0,0.0,0.6667,0.6667,,,4.355
qwen3_14b_no_thinking,32000.0,2.0,far,1,1,0,1.0,0.0,0.0,0.0,,,6.4697
qwen3_14b_no_thinking,32000.0,2.0,medium,2,2,0,1.0,0.0,0.0,0.0,,,7.7949
qwen3_14b_no_thinking,32000.0,2.0,near,1,1,0,1.0,0.0,1.0,1.0,,,6.3623
qwen3_14b_no_thinking,32000.0,3.0,far,3,3,0,1.0,0.0,1.0,1.0,,,5.3809
qwen3_14b_no_thinking,32000.0,3.0,medium,2,2,0,1.0,0.0,0.5,0.5,,,6.7751
qwen3_14b_no_thinking,32000.0,3.0,near,3,3,0,1.0,0.0,1.0,1.0,,,5.4897
qwen3_14b_no_thinking,32000.0,4.0,far,2,2,0,1.0,0.0,1.0,1.0,,,10.3149
qwen3_14b_no_thinking,32000.0,4.0,medium,2,2,0,1.0,0.0,0.5,0.5,,,5.0196
qwen3_14b_no_thinking,32000.0,4.0,near,2,2,0,1.0,0.0,0.5,0.5,,,15.8344
qwen3_14b_thinking,8000.0,2.0,medium,2,2,0,1.0,0.0,1.0,1.0,,,4.0371
qwen3_14b_thinking,8000.0,2.0,near,1,1,0,1.0,0.0,1.0,1.0,,,2.7091
qwen3_14b_thinking,8000.0,3.0,near,3,3,0,1.0,0.0,1.0,1.0,,,3.1099
qwen3_14b_thinking,8000.0,4.0,near,1,1,0,1.0,0.0,1.0,1.0,,,1.54
qwen3_14b_thinking,16000.0,2.0,far,2,2,0,1.0,0.0,0.5,0.5,,,4.166
qwen3_14b_thinking,16000.0,2.0,medium,2,2,0,1.0,0.0,1.0,1.0,,,5.2641
qwen3_14b_thinking,16000.0,2.0,near,2,2,0,1.0,0.0,0.5,0.5,,,2.6393
qwen3_14b_thinking,16000.0,3.0,medium,2,2,0,1.0,0.0,1.0,1.0,,,3.2655
qwen3_14b_thinking,16000.0,3.0,near,2,2,0,1.0,0.0,1.0,1.0,,,7.5027
qwen3_14b_thinking,16000.0,4.0,medium,2,2,0,1.0,0.0,0.5,0.5,,,3.871
qwen3_14b_thinking,16000.0,4.0,near,1,1,0,1.0,0.0,1.0,1.0,,,3.7734
qwen3_14b_thinking,32000.0,2.0,far,3,3,0,1.0,0.0,0.6667,0.6667,,,8.4537
qwen3_14b_thinking,32000.0,2.0,medium,4,4,0,1.0,0.0,0.0,0.0,,,6.6899
qwen3_14b_thinking,32000.0,2.0,near,1,1,0,1.0,0.0,0.0,0.0,,,7.3654
qwen3_14b_thinking,32000.0,3.0,far,4,4,0,1.0,0.0,1.0,1.0,,,6.2844
qwen3_14b_thinking,32000.0,3.0,medium,3,3,0,1.0,0.0,1.0,1.0,,,6.8665
qwen3_14b_thinking,32000.0,4.0,far,3,3,0,1.0,0.0,1.0,1.0,,,6.906
qwen3_14b_thinking,32000.0,4.0,medium,3,3,0,1.0,0.0,0.6667,0.6667,,,9.3673
qwen3_8b,8000.0,2.0,medium,3,3,0,1.0,0.0,1.0,1.0,,,4.3384
qwen3_8b,8000.0,2.0,near,3,3,0,1.0,0.0,1.0,1.0,,,5.0808
qwen3_8b,8000.0,3.0,near,3,3,0,1.0,0.0,1.0,1.0,,,1.7698
qwen3_8b,8000.0,4.0,near,3,3,0,1.0,0.0,1.0,1.0,,,3.2492
qwen3_8b,16000.0,2.0,far,4,4,0,1.0,0.0,0.5,0.5,,,4.2421
qwen3_8b,16000.0,2.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,7.772
qwen3_8b,16000.0,2.0,near,4,4,0,1.0,0.0,1.0,1.0,,,2.7239
qwen3_8b,16000.0,3.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,3.0981
qwen3_8b,16000.0,3.0,near,4,4,0,1.0,0.0,1.0,1.0,,,4.155
qwen3_8b,16000.0,4.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,3.9373
qwen3_8b,16000.0,4.0,near,4,4,0,1.0,0.0,1.0,1.0,,,2.8092
qwen3_8b,32000.0,2.0,far,4,4,0,1.0,0.0,0.75,0.75,,,8.5605
qwen3_8b,32000.0,2.0,medium,4,4,0,1.0,0.0,1.0,1.0,,,6.1741
qwen3_8b,32000.0,2.0,near,4,4,0,1.0,0.0,0.75,0.75,,,8.5999
qwen3_8b,32000.0,3.0,far,4,4,0,1.0,0.0,0.75,0.75,,,6.4842
qwen3_8b,32000.0,3.0,medium,3,3,0,1.0,0.0,1.0,1.0,,,7.1742
qwen3_8b,32000.0,3.0,near,4,4,0,1.0,0.0,1.0,1.0,,,6.4047
qwen3_8b,32000.0,4.0,far,3,3,0,1.0,0.0,1.0,1.0,,,5.0099
qwen3_8b,32000.0,4.0,medium,3,3,0,1.0,0.0,0.3333,0.3333,,,4.9615
qwen3_8b,32000.0,4.0,near,3,3,0,1.0,0.0,1.0,1.0,,,4.5793
seed_oss_36b,8000.0,2.0,medium,2,2,0,1.0,0.0,1.0,1.0,,,2.9765
seed_oss_36b,8000.0,2.0,near,2,2,0,1.0,0.0,1.0,1.0,,,3.2382
seed_oss_36b,8000.0,3.0,near,3,3,0,1.0,0.0,0.6667,0.6667,,,3.5505
seed_oss_36b,8000.0,4.0,near,2,2,0,1.0,0.0,1.0,1.0,,,3.4974
seed_oss_36b,16000.0,2.0,far,2,2,0,1.0,0.0,1.0,1.0,,,4.58
seed_oss_36b,16000.0,2.0,medium,1,1,0,1.0,0.0,1.0,1.0,,,4.1321
seed_oss_36b,16000.0,2.0,near,2,2,0,1.0,0.0,1.0,1.0,,,6.9882
seed_oss_36b,16000.0,3.0,medium,2,2,0,1.0,0.0,0.0,0.0,,,5.1577
seed_oss_36b,16000.0,3.0,near,2,2,0,1.0,0.0,1.0,1.0,,,4.2694
seed_oss_36b,16000.0,4.0,medium,2,2,0,1.0,0.0,0.5,0.5,,,6.2979
seed_oss_36b,16000.0,4.0,near,3,3,0,1.0,0.0,1.0,1.0,,,5.9085
seed_oss_36b,32000.0,2.0,far,2,2,0,1.0,0.0,1.0,1.0,,,7.1873
seed_oss_36b,32000.0,2.0,medium,3,3,0,1.0,0.0,1.0,1.0,,,7.2483
seed_oss_36b,32000.0,2.0,near,4,4,0,1.0,0.0,1.0,1.0,,,7.7902
seed_oss_36b,32000.0,3.0,medium,1,1,0,1.0,0.0,1.0,1.0,,,6.3992
seed_oss_36b,32000.0,3.0,near,1,1,0,1.0,0.0,1.0,1.0,,,7.083
seed_oss_36b,32000.0,4.0,far,2,2,0,1.0,0.0,1.0,1.0,,,32.9893
seed_oss_36b,32000.0,4.0,medium,2,2,0,1.0,0.0,1.0,1.0,,,6.8796
seed_oss_36b,32000.0,4.0,near,1,1,0,1.0,0.0,1.0,1.0,,,6.3382
