model,length,position,n_total,n_success,n_error,coverage,error_rate,score_mean,score_all,f1_mean,rouge_l_mean,latency_mean
qwen35_35b_a3b,4000.0,50.0,14,14,0,1.0,0.0,1.0,1.0,,,0.5561
qwen35_35b_a3b,4000.0,75.0,16,16,0,1.0,0.0,1.0,1.0,,,0.8712
qwen35_35b_a3b,4000.0,90.0,13,13,0,1.0,0.0,1.0,1.0,,,1.0135
qwen35_35b_a3b,8000.0,10.0,12,12,0,1.0,0.0,1.0,1.0,,,1.2821
qwen35_35b_a3b,8000.0,25.0,11,11,0,1.0,0.0,1.0,1.0,,,1.5596
qwen35_35b_a3b,8000.0,50.0,10,10,0,1.0,0.0,1.0,1.0,,,4.83
qwen35_35b_a3b,8000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,1.6602
qwen35_35b_a3b,8000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,13.9671
qwen35_35b_a3b,16000.0,10.0,10,10,0,1.0,0.0,1.0,1.0,,,1.7711
qwen35_35b_a3b,16000.0,25.0,10,10,0,1.0,0.0,1.0,1.0,,,181.7098
qwen35_35b_a3b,16000.0,50.0,10,10,0,1.0,0.0,1.0,1.0,,,2.0712
qwen35_35b_a3b,16000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,1.6811
qwen35_35b_a3b,16000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,181.9903
qwen35_35b_a3b,32000.0,10.0,10,10,0,1.0,0.0,1.0,1.0,,,2.9075
qwen35_35b_a3b,32000.0,25.0,10,10,0,1.0,0.0,1.0,1.0,,,543.132
qwen35_35b_a3b,32000.0,50.0,10,10,0,1.0,0.0,1.0,1.0,,,2.5823
qwen35_35b_a3b,32000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,3.0558
qwen35_35b_a3b,32000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,182.6927
qwen35_9b,4000.0,10.0,10,10,0,1.0,0.0,1.0,1.0,,,1.5384
qwen35_9b,4000.0,25.0,10,10,0,1.0,0.0,1.0,1.0,,,1.3206
qwen35_9b,4000.0,50.0,10,10,0,1.0,0.0,1.0,1.0,,,1.3956
qwen35_9b,4000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,0.8127
qwen35_9b,4000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,1.4838
qwen35_9b,8000.0,10.0,10,10,0,1.0,0.0,1.0,1.0,,,2.8804
qwen35_9b,8000.0,25.0,10,10,0,1.0,0.0,1.0,1.0,,,1.5084
qwen35_9b,8000.0,50.0,10,10,0,1.0,0.0,1.0,1.0,,,1.0199
qwen35_9b,8000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,6.3175
qwen35_9b,8000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,1.5917
qwen35_9b,16000.0,10.0,10,10,0,1.0,0.0,1.0,1.0,,,2.6011
qwen35_9b,16000.0,25.0,10,10,0,1.0,0.0,1.0,1.0,,,3.377
qwen35_9b,16000.0,50.0,10,10,0,1.0,0.0,1.0,1.0,,,1.9271
qwen35_9b,16000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,2.3405
qwen35_9b,16000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,2.9367
qwen35_9b,32000.0,10.0,10,10,0,1.0,0.0,1.0,1.0,,,3.9775
qwen35_9b,32000.0,25.0,10,10,0,1.0,0.0,1.0,1.0,,,4.0164
qwen35_9b,32000.0,50.0,10,10,0,1.0,0.0,1.0,1.0,,,4.5472
qwen35_9b,32000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,4.6528
qwen35_9b,32000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,5.0399
qwen3_14b_no_thinking,4000.0,10.0,29,29,0,1.0,0.0,1.0,1.0,,,1.0979
qwen3_14b_no_thinking,4000.0,25.0,30,30,0,1.0,0.0,1.0,1.0,,,1.2203
qwen3_14b_no_thinking,4000.0,50.0,30,30,0,1.0,0.0,1.0,1.0,,,1.2207
qwen3_14b_no_thinking,4000.0,75.0,30,30,0,1.0,0.0,1.0,1.0,,,1.172
qwen3_14b_no_thinking,4000.0,90.0,30,30,0,1.0,0.0,1.0,1.0,,,0.9735
qwen3_14b_no_thinking,8000.0,10.0,23,23,0,1.0,0.0,1.0,1.0,,,1.8969
qwen3_14b_no_thinking,8000.0,25.0,23,23,0,1.0,0.0,1.0,1.0,,,2.022
qwen3_14b_no_thinking,8000.0,50.0,22,22,0,1.0,0.0,1.0,1.0,,,1.8801
qwen3_14b_no_thinking,8000.0,75.0,23,23,0,1.0,0.0,1.0,1.0,,,2.2954
qwen3_14b_no_thinking,8000.0,90.0,19,19,0,1.0,0.0,1.0,1.0,,,1.6786
qwen3_14b_no_thinking,16000.0,10.0,14,14,0,1.0,0.0,1.0,1.0,,,2.5791
qwen3_14b_no_thinking,16000.0,25.0,13,13,0,1.0,0.0,1.0,1.0,,,2.8077
qwen3_14b_no_thinking,16000.0,50.0,14,14,0,1.0,0.0,1.0,1.0,,,2.8367
qwen3_14b_no_thinking,16000.0,75.0,14,14,0,1.0,0.0,1.0,1.0,,,2.4579
qwen3_14b_no_thinking,16000.0,90.0,14,14,0,1.0,0.0,1.0,1.0,,,2.4094
qwen3_14b_no_thinking,32000.0,10.0,12,12,0,1.0,0.0,1.0,1.0,,,5.2307
qwen3_14b_no_thinking,32000.0,25.0,11,11,0,1.0,0.0,1.0,1.0,,,5.0724
qwen3_14b_no_thinking,32000.0,50.0,10,10,0,1.0,0.0,1.0,1.0,,,7.9919
qwen3_14b_no_thinking,32000.0,75.0,9,9,0,1.0,0.0,1.0,1.0,,,4.8659
qwen3_14b_no_thinking,32000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,4.7145
qwen3_14b_thinking,4000.0,10.0,18,18,0,1.0,0.0,1.0,1.0,,,1.5779
qwen3_14b_thinking,4000.0,25.0,20,20,0,1.0,0.0,1.0,1.0,,,1.8126
qwen3_14b_thinking,4000.0,50.0,20,20,0,1.0,0.0,1.0,1.0,,,1.1413
qwen3_14b_thinking,4000.0,75.0,20,20,0,1.0,0.0,1.0,1.0,,,1.4551
qwen3_14b_thinking,4000.0,90.0,27,27,0,1.0,0.0,1.0,1.0,,,1.3995
qwen3_14b_thinking,8000.0,10.0,28,28,0,1.0,0.0,1.0,1.0,,,2.4247
qwen3_14b_thinking,8000.0,25.0,26,26,0,1.0,0.0,1.0,1.0,,,2.8232
qwen3_14b_thinking,8000.0,50.0,28,28,0,1.0,0.0,1.0,1.0,,,2.8784
qwen3_14b_thinking,8000.0,75.0,27,27,0,1.0,0.0,1.0,1.0,,,3.222
qwen3_14b_thinking,8000.0,90.0,27,27,0,1.0,0.0,1.0,1.0,,,2.7307
qwen3_14b_thinking,16000.0,10.0,18,18,0,1.0,0.0,1.0,1.0,,,3.3742
qwen3_14b_thinking,16000.0,25.0,18,18,0,1.0,0.0,1.0,1.0,,,3.5928
qwen3_14b_thinking,16000.0,50.0,17,17,0,1.0,0.0,1.0,1.0,,,3.6882
qwen3_14b_thinking,16000.0,75.0,18,18,0,1.0,0.0,1.0,1.0,,,3.6583
qwen3_14b_thinking,16000.0,90.0,17,17,0,1.0,0.0,1.0,1.0,,,3.7214
qwen3_14b_thinking,32000.0,10.0,13,13,0,1.0,0.0,1.0,1.0,,,5.8497
qwen3_14b_thinking,32000.0,25.0,12,12,0,1.0,0.0,1.0,1.0,,,9.1042
qwen3_14b_thinking,32000.0,50.0,8,8,0,1.0,0.0,1.0,1.0,,,5.7006
qwen3_14b_thinking,32000.0,75.0,9,9,0,1.0,0.0,1.0,1.0,,,5.613
qwen3_14b_thinking,32000.0,90.0,7,7,0,1.0,0.0,1.0,1.0,,,5.3358
qwen3_8b,4000.0,10.0,20,20,0,1.0,0.0,1.0,1.0,,,1.6531
qwen3_8b,4000.0,25.0,20,20,0,1.0,0.0,1.0,1.0,,,1.2368
qwen3_8b,4000.0,50.0,20,20,0,1.0,0.0,1.0,1.0,,,1.3842
qwen3_8b,4000.0,75.0,15,15,0,1.0,0.0,1.0,1.0,,,1.2921
qwen3_8b,4000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,1.3118
qwen3_8b,8000.0,10.0,10,10,0,1.0,0.0,1.0,1.0,,,3.3239
qwen3_8b,8000.0,25.0,10,10,0,1.0,0.0,1.0,1.0,,,1.6405
qwen3_8b,8000.0,50.0,10,10,0,1.0,0.0,1.0,1.0,,,2.0833
qwen3_8b,8000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,1.126
qwen3_8b,8000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,3.1949
qwen3_8b,16000.0,10.0,10,10,0,1.0,0.0,1.0,1.0,,,3.5616
qwen3_8b,16000.0,25.0,10,10,0,1.0,0.0,1.0,1.0,,,2.8504
qwen3_8b,16000.0,50.0,10,10,0,1.0,0.0,1.0,1.0,,,6.7783
qwen3_8b,16000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,2.6231
qwen3_8b,16000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,6.2424
qwen3_8b,32000.0,10.0,10,10,0,1.0,0.0,1.0,1.0,,,14.9532
qwen3_8b,32000.0,25.0,10,10,0,1.0,0.0,1.0,1.0,,,7.2978
qwen3_8b,32000.0,50.0,9,9,0,1.0,0.0,1.0,1.0,,,5.1517
qwen3_8b,32000.0,75.0,10,10,0,1.0,0.0,1.0,1.0,,,6.302
qwen3_8b,32000.0,90.0,10,10,0,1.0,0.0,1.0,1.0,,,4.5889
seed_oss_36b,4000.0,10.0,23,23,0,1.0,0.0,0.9565,0.9565,,,1.8093
seed_oss_36b,4000.0,25.0,33,33,0,1.0,0.0,0.9697,0.9697,,,1.7787
seed_oss_36b,4000.0,50.0,38,38,0,1.0,0.0,0.9737,0.9737,,,3.5075
seed_oss_36b,4000.0,75.0,33,33,0,1.0,0.0,0.9697,0.9697,,,2.1163
seed_oss_36b,4000.0,90.0,35,35,0,1.0,0.0,0.9143,0.9143,,,2.373
seed_oss_36b,8000.0,10.0,23,23,0,1.0,0.0,1.0,1.0,,,2.1459
seed_oss_36b,8000.0,25.0,29,29,0,1.0,0.0,0.9655,0.9655,,,2.1268
seed_oss_36b,8000.0,50.0,27,27,0,1.0,0.0,1.0,1.0,,,2.0913
seed_oss_36b,8000.0,75.0,22,22,0,1.0,0.0,1.0,1.0,,,2.5752
seed_oss_36b,8000.0,90.0,23,23,0,1.0,0.0,0.9565,0.9565,,,2.257
seed_oss_36b,16000.0,10.0,16,16,0,1.0,0.0,1.0,1.0,,,3.6123
seed_oss_36b,16000.0,25.0,16,16,0,1.0,0.0,1.0,1.0,,,3.81
seed_oss_36b,16000.0,50.0,15,15,0,1.0,0.0,1.0,1.0,,,4.6834
seed_oss_36b,16000.0,75.0,18,18,0,1.0,0.0,1.0,1.0,,,4.3515
seed_oss_36b,16000.0,90.0,15,15,0,1.0,0.0,1.0,1.0,,,8.0936
seed_oss_36b,32000.0,10.0,12,12,0,1.0,0.0,1.0,1.0,,,6.5875
seed_oss_36b,32000.0,25.0,9,9,0,1.0,0.0,1.0,1.0,,,6.6302
seed_oss_36b,32000.0,50.0,9,9,0,1.0,0.0,1.0,1.0,,,6.8346
seed_oss_36b,32000.0,75.0,9,9,0,1.0,0.0,1.0,1.0,,,6.7942
seed_oss_36b,32000.0,90.0,11,11,0,1.0,0.0,1.0,1.0,,,6.884
