model,category,task,n_total,n_success,n_error,coverage,error_rate,score_mean,score_all,f1_mean,rouge_l_mean,latency_mean
qwen35_27b,single_doc_qa,narrativeqa,31,31,0,1.0,0.0,0.2155,0.2155,0.3036,,8.5209
qwen35_35b_a3b,single_doc_qa,narrativeqa,50,50,0,1.0,0.0,0.2536,0.2536,0.3522,,126.7766
qwen35_9b,single_doc_qa,narrativeqa,50,50,0,1.0,0.0,0.2307,0.2307,0.3496,,6.6418
qwen3_14b_no_thinking,single_doc_qa,narrativeqa,29,29,0,1.0,0.0,0.1833,0.1833,0.2952,,3.4347
qwen3_14b_thinking,single_doc_qa,narrativeqa,22,22,0,1.0,0.0,0.147,0.147,0.2694,,16.8198
qwen3_8b,single_doc_qa,narrativeqa,31,31,0,1.0,0.0,0.2075,0.2075,0.2382,,7.0555
seed_oss_36b,single_doc_qa,narrativeqa,26,26,0,1.0,0.0,0.2047,0.2047,0.3131,,18.3993
hunyuan_a13b,single_doc_qa,qasper,49,49,0,1.0,0.0,0.3216,0.3216,0.426,,1.7406
qwen35_122b_a10b,single_doc_qa,qasper,49,49,0,1.0,0.0,0.4723,0.4723,0.5382,,1.7393
qwen35_27b,single_doc_qa,qasper,50,50,0,1.0,0.0,0.4215,0.4215,0.4901,,5.0859
qwen35_35b_a3b,single_doc_qa,qasper,50,50,0,1.0,0.0,0.4334,0.4334,0.504,,54.8354
qwen35_9b,single_doc_qa,qasper,50,50,0,1.0,0.0,0.3409,0.3409,0.4261,,3.7444
qwen3_14b_no_thinking,single_doc_qa,qasper,50,50,0,1.0,0.0,0.4346,0.4346,0.5053,,3.1838
qwen3_14b_thinking,single_doc_qa,qasper,32,32,0,1.0,0.0,0.3643,0.3643,0.4484,,17.2845
qwen3_8b,single_doc_qa,qasper,50,50,0,1.0,0.0,0.3658,0.3658,0.4354,,4.494
seed_oss_36b,single_doc_qa,qasper,51,51,0,1.0,0.0,0.4361,0.4361,0.5055,,17.9153
qwen3_14b_no_thinking,summarization,qmsum,23,23,0,1.0,0.0,0.2127,0.2127,,0.2127,4.3843
seed_oss_36b,summarization,qmsum,19,19,0,1.0,0.0,0.1732,0.1732,,0.1732,12.9044
