model,length,interference_type,density,n_total,n_success,n_error,coverage,error_rate,score_mean,score_all,f1_mean,rouge_l_mean,latency_mean
qwen35_122b_a10b,8000.0,random_noise,90.0,1,1,0,1.0,0.0,1.0,1.0,,,2.0859
qwen35_122b_a10b,16000.0,in_domain,0.0,3,3,0,1.0,0.0,1.0,1.0,,,3.0327
qwen35_122b_a10b,16000.0,in_domain,25.0,2,2,0,1.0,0.0,1.0,1.0,,,4.2873
qwen35_122b_a10b,16000.0,in_domain,50.0,5,5,0,1.0,0.0,1.0,1.0,,,3.5733
qwen35_122b_a10b,16000.0,in_domain,75.0,2,2,0,1.0,0.0,1.0,1.0,,,3.3264
qwen35_122b_a10b,16000.0,in_domain,90.0,3,3,0,1.0,0.0,1.0,1.0,,,3.3812
qwen35_122b_a10b,16000.0,out_domain,0.0,4,4,0,1.0,0.0,1.0,1.0,,,5.6443
qwen35_122b_a10b,16000.0,out_domain,25.0,3,3,0,1.0,0.0,1.0,1.0,,,6.2851
qwen35_122b_a10b,16000.0,out_domain,50.0,2,2,0,1.0,0.0,1.0,1.0,,,3.6441
qwen35_122b_a10b,16000.0,out_domain,75.0,3,3,0,1.0,0.0,1.0,1.0,,,3.6399
qwen35_122b_a10b,16000.0,out_domain,90.0,3,3,0,1.0,0.0,1.0,1.0,,,19.5475
qwen35_122b_a10b,16000.0,random_noise,0.0,1,1,0,1.0,0.0,1.0,1.0,,,3.9933
qwen35_122b_a10b,16000.0,random_noise,25.0,4,4,0,1.0,0.0,1.0,1.0,,,3.2954
qwen35_122b_a10b,16000.0,random_noise,50.0,3,3,0,1.0,0.0,1.0,1.0,,,20.5474
qwen35_122b_a10b,16000.0,random_noise,75.0,4,4,0,1.0,0.0,1.0,1.0,,,49.4371
qwen35_122b_a10b,16000.0,random_noise,90.0,3,3,0,1.0,0.0,1.0,1.0,,,3.1968
qwen35_122b_a10b,32000.0,in_domain,0.0,1,1,0,1.0,0.0,1.0,1.0,,,5.3727
qwen35_122b_a10b,32000.0,in_domain,25.0,2,2,0,1.0,0.0,1.0,1.0,,,13.4425
qwen35_122b_a10b,32000.0,in_domain,50.0,3,3,0,1.0,0.0,1.0,1.0,,,5.7968
qwen35_122b_a10b,32000.0,in_domain,75.0,2,2,0,1.0,0.0,1.0,1.0,,,12.169
qwen35_122b_a10b,32000.0,in_domain,90.0,2,2,0,1.0,0.0,1.0,1.0,,,10.2281
qwen35_122b_a10b,32000.0,out_domain,0.0,3,3,0,1.0,0.0,1.0,1.0,,,13.3376
qwen35_122b_a10b,32000.0,out_domain,25.0,5,5,0,1.0,0.0,1.0,1.0,,,9.1806
qwen35_122b_a10b,32000.0,out_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,5.0358
qwen35_122b_a10b,32000.0,out_domain,75.0,3,3,0,1.0,0.0,1.0,1.0,,,5.6452
qwen35_122b_a10b,32000.0,out_domain,90.0,3,3,0,1.0,0.0,1.0,1.0,,,7.0025
qwen35_122b_a10b,32000.0,random_noise,0.0,3,3,0,1.0,0.0,1.0,1.0,,,17.8881
qwen35_122b_a10b,32000.0,random_noise,25.0,2,2,0,1.0,0.0,1.0,1.0,,,5.2222
qwen35_122b_a10b,32000.0,random_noise,50.0,2,2,0,1.0,0.0,1.0,1.0,,,3.5498
qwen35_122b_a10b,32000.0,random_noise,75.0,2,2,0,1.0,0.0,1.0,1.0,,,4.0924
qwen35_122b_a10b,32000.0,random_noise,90.0,2,2,0,1.0,0.0,1.0,1.0,,,5.1932
qwen35_27b,8000.0,in_domain,0.0,4,4,0,1.0,0.0,1.0,1.0,,,74.0416
qwen35_27b,8000.0,in_domain,25.0,4,4,0,1.0,0.0,1.0,1.0,,,2.9909
qwen35_27b,8000.0,in_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,1.9739
qwen35_27b,8000.0,in_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,4.0031
qwen35_27b,8000.0,in_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,5.3696
qwen35_27b,8000.0,out_domain,0.0,4,4,0,1.0,0.0,1.0,1.0,,,3.4951
qwen35_27b,8000.0,out_domain,25.0,4,4,0,1.0,0.0,1.0,1.0,,,2.164
qwen35_27b,8000.0,out_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,10.3356
qwen35_27b,8000.0,out_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,2.763
qwen35_27b,8000.0,out_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,2.7749
qwen35_27b,8000.0,random_noise,0.0,4,4,0,1.0,0.0,1.0,1.0,,,5.8743
qwen35_27b,8000.0,random_noise,25.0,4,4,0,1.0,0.0,1.0,1.0,,,5.3302
qwen35_27b,8000.0,random_noise,50.0,4,4,0,1.0,0.0,1.0,1.0,,,3.3836
qwen35_27b,8000.0,random_noise,75.0,4,4,0,1.0,0.0,1.0,1.0,,,2.369
qwen35_27b,8000.0,random_noise,90.0,4,4,0,1.0,0.0,1.0,1.0,,,2.02
qwen35_27b,16000.0,in_domain,0.0,5,5,0,1.0,0.0,1.0,1.0,,,5.901
qwen35_27b,16000.0,in_domain,25.0,5,5,0,1.0,0.0,1.0,1.0,,,7.7655
qwen35_27b,16000.0,in_domain,50.0,5,5,0,1.0,0.0,1.0,1.0,,,4.1281
qwen35_27b,16000.0,in_domain,75.0,5,5,0,1.0,0.0,1.0,1.0,,,5.5832
qwen35_27b,16000.0,in_domain,90.0,5,5,0,1.0,0.0,1.0,1.0,,,6.2713
qwen35_27b,16000.0,out_domain,0.0,5,5,0,1.0,0.0,1.0,1.0,,,4.8652
qwen35_27b,16000.0,out_domain,25.0,5,5,0,1.0,0.0,1.0,1.0,,,5.8036
qwen35_27b,16000.0,out_domain,50.0,5,5,0,1.0,0.0,1.0,1.0,,,6.6504
qwen35_27b,16000.0,out_domain,75.0,5,5,0,1.0,0.0,1.0,1.0,,,5.2956
qwen35_27b,16000.0,out_domain,90.0,5,5,0,1.0,0.0,1.0,1.0,,,5.9489
qwen35_27b,16000.0,random_noise,0.0,5,5,0,1.0,0.0,1.0,1.0,,,7.4747
qwen35_27b,16000.0,random_noise,25.0,5,5,0,1.0,0.0,1.0,1.0,,,4.7274
qwen35_27b,16000.0,random_noise,50.0,5,5,0,1.0,0.0,1.0,1.0,,,5.9137
qwen35_27b,16000.0,random_noise,75.0,5,5,0,1.0,0.0,1.0,1.0,,,4.9656
qwen35_27b,16000.0,random_noise,90.0,5,5,0,1.0,0.0,1.0,1.0,,,7.1248
qwen35_27b,32000.0,in_domain,0.0,5,5,0,1.0,0.0,1.0,1.0,,,10.9995
qwen35_27b,32000.0,in_domain,25.0,5,5,0,1.0,0.0,1.0,1.0,,,7.7654
qwen35_27b,32000.0,in_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,21.8059
qwen35_27b,32000.0,in_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,7.8155
qwen35_27b,32000.0,in_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,8.7097
qwen35_27b,32000.0,out_domain,0.0,5,5,0,1.0,0.0,1.0,1.0,,,20.1546
qwen35_27b,32000.0,out_domain,25.0,5,5,0,1.0,0.0,1.0,1.0,,,8.1367
qwen35_27b,32000.0,out_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,11.0168
qwen35_27b,32000.0,out_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,52.8317
qwen35_27b,32000.0,out_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,10.4063
qwen35_27b,32000.0,random_noise,0.0,5,5,0,1.0,0.0,1.0,1.0,,,28.6877
qwen35_27b,32000.0,random_noise,25.0,4,4,0,1.0,0.0,1.0,1.0,,,7.4743
qwen35_27b,32000.0,random_noise,50.0,4,4,0,1.0,0.0,1.0,1.0,,,7.9665
qwen35_27b,32000.0,random_noise,75.0,4,4,0,1.0,0.0,1.0,1.0,,,10.0737
qwen35_27b,32000.0,random_noise,90.0,4,4,0,1.0,0.0,1.0,1.0,,,9.7003
qwen35_35b_a3b,8000.0,in_domain,0.0,4,4,0,1.0,0.0,1.0,1.0,,,3.4726
qwen35_35b_a3b,8000.0,in_domain,25.0,4,4,0,1.0,0.0,1.0,1.0,,,1.531
qwen35_35b_a3b,8000.0,in_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,15.2008
qwen35_35b_a3b,8000.0,in_domain,75.0,3,3,0,1.0,0.0,1.0,1.0,,,1.7183
qwen35_35b_a3b,8000.0,in_domain,90.0,3,3,0,1.0,0.0,1.0,1.0,,,1.8503
qwen35_35b_a3b,8000.0,out_domain,0.0,4,4,0,1.0,0.0,1.0,1.0,,,1.7403
qwen35_35b_a3b,8000.0,out_domain,25.0,4,4,0,1.0,0.0,1.0,1.0,,,1.4267
qwen35_35b_a3b,8000.0,out_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,3.7603
qwen35_35b_a3b,8000.0,out_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,2.1236
qwen35_35b_a3b,8000.0,out_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,1.6377
qwen35_35b_a3b,8000.0,random_noise,0.0,4,4,0,1.0,0.0,1.0,1.0,,,5.3032
qwen35_35b_a3b,8000.0,random_noise,25.0,4,4,0,1.0,0.0,1.0,1.0,,,5.2858
qwen35_35b_a3b,8000.0,random_noise,50.0,4,4,0,1.0,0.0,1.0,1.0,,,1.74
qwen35_35b_a3b,8000.0,random_noise,75.0,4,4,0,1.0,0.0,1.0,1.0,,,38.934
qwen35_35b_a3b,8000.0,random_noise,90.0,4,4,0,1.0,0.0,1.0,1.0,,,1.5689
qwen35_35b_a3b,16000.0,in_domain,0.0,5,5,0,1.0,0.0,1.0,1.0,,,2.628
qwen35_35b_a3b,16000.0,in_domain,25.0,4,4,0,1.0,0.0,1.0,1.0,,,2.0701
qwen35_35b_a3b,16000.0,in_domain,50.0,5,5,0,1.0,0.0,1.0,1.0,,,2.733
qwen35_35b_a3b,16000.0,in_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,2.6916
qwen35_35b_a3b,16000.0,in_domain,90.0,5,5,0,1.0,0.0,1.0,1.0,,,7.6336
qwen35_35b_a3b,16000.0,out_domain,0.0,5,5,0,1.0,0.0,1.0,1.0,,,24.3294
qwen35_35b_a3b,16000.0,out_domain,25.0,4,4,0,1.0,0.0,1.0,1.0,,,2.5889
qwen35_35b_a3b,16000.0,out_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,2.6886
qwen35_35b_a3b,16000.0,out_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,2.7137
qwen35_35b_a3b,16000.0,out_domain,90.0,5,5,0,1.0,0.0,1.0,1.0,,,2.2754
qwen35_35b_a3b,16000.0,random_noise,0.0,3,3,0,1.0,0.0,1.0,1.0,,,2.6736
qwen35_35b_a3b,16000.0,random_noise,25.0,5,5,0,1.0,0.0,1.0,1.0,,,5.3712
qwen35_35b_a3b,16000.0,random_noise,50.0,5,5,0,1.0,0.0,1.0,1.0,,,2.4681
qwen35_35b_a3b,16000.0,random_noise,75.0,5,5,0,1.0,0.0,1.0,1.0,,,2.1147
qwen35_35b_a3b,16000.0,random_noise,90.0,5,5,0,1.0,0.0,1.0,1.0,,,13.1269
qwen35_35b_a3b,32000.0,in_domain,0.0,4,4,0,1.0,0.0,1.0,1.0,,,4.8307
qwen35_35b_a3b,32000.0,in_domain,25.0,5,5,0,1.0,0.0,1.0,1.0,,,2.0896
qwen35_35b_a3b,32000.0,in_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,4.018
qwen35_35b_a3b,32000.0,in_domain,75.0,3,3,0,1.0,0.0,1.0,1.0,,,6.7961
qwen35_35b_a3b,32000.0,in_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,3.6043
qwen35_35b_a3b,32000.0,out_domain,0.0,5,5,0,1.0,0.0,1.0,1.0,,,3.7606
qwen35_35b_a3b,32000.0,out_domain,25.0,5,5,0,1.0,0.0,1.0,1.0,,,3.5957
qwen35_35b_a3b,32000.0,out_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,2.6065
qwen35_35b_a3b,32000.0,out_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,3.2253
qwen35_35b_a3b,32000.0,out_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,5.3442
qwen35_35b_a3b,32000.0,random_noise,0.0,5,5,0,1.0,0.0,1.0,1.0,,,3.3765
qwen35_35b_a3b,32000.0,random_noise,25.0,4,4,0,1.0,0.0,1.0,1.0,,,2.7109
qwen35_35b_a3b,32000.0,random_noise,50.0,4,4,0,1.0,0.0,1.0,1.0,,,3.4295
qwen35_35b_a3b,32000.0,random_noise,75.0,4,4,0,1.0,0.0,1.0,1.0,,,2.7439
qwen35_35b_a3b,32000.0,random_noise,90.0,4,4,0,1.0,0.0,1.0,1.0,,,2.3082
qwen35_9b,8000.0,in_domain,0.0,4,4,0,1.0,0.0,1.0,1.0,,,1.8152
qwen35_9b,8000.0,in_domain,25.0,4,4,0,1.0,0.0,1.0,1.0,,,2.0845
qwen35_9b,8000.0,in_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,2.0988
qwen35_9b,8000.0,in_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,1.218
qwen35_9b,8000.0,in_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,1.9916
qwen35_9b,8000.0,out_domain,0.0,4,4,0,1.0,0.0,1.0,1.0,,,0.9218
qwen35_9b,8000.0,out_domain,25.0,4,4,0,1.0,0.0,1.0,1.0,,,2.1206
qwen35_9b,8000.0,out_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,2.9691
qwen35_9b,8000.0,out_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,1.318
qwen35_9b,8000.0,out_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,1.2187
qwen35_9b,8000.0,random_noise,0.0,4,4,0,1.0,0.0,1.0,1.0,,,1.1136
qwen35_9b,8000.0,random_noise,25.0,4,4,0,1.0,0.0,1.0,1.0,,,2.1394
qwen35_9b,8000.0,random_noise,50.0,4,4,0,1.0,0.0,1.0,1.0,,,5.1432
qwen35_9b,8000.0,random_noise,75.0,4,4,0,1.0,0.0,1.0,1.0,,,1.2635
qwen35_9b,8000.0,random_noise,90.0,4,4,0,1.0,0.0,1.0,1.0,,,1.3115
qwen35_9b,16000.0,in_domain,0.0,5,5,0,1.0,0.0,1.0,1.0,,,2.5587
qwen35_9b,16000.0,in_domain,25.0,5,5,0,1.0,0.0,1.0,1.0,,,3.0294
qwen35_9b,16000.0,in_domain,50.0,5,5,0,1.0,0.0,1.0,1.0,,,16.8754
qwen35_9b,16000.0,in_domain,75.0,5,5,0,1.0,0.0,1.0,1.0,,,2.9653
qwen35_9b,16000.0,in_domain,90.0,5,5,0,1.0,0.0,1.0,1.0,,,2.7479
qwen35_9b,16000.0,out_domain,0.0,5,5,0,1.0,0.0,1.0,1.0,,,3.6254
qwen35_9b,16000.0,out_domain,25.0,5,5,0,1.0,0.0,1.0,1.0,,,3.024
qwen35_9b,16000.0,out_domain,50.0,5,5,0,1.0,0.0,1.0,1.0,,,2.4645
qwen35_9b,16000.0,out_domain,75.0,5,5,0,1.0,0.0,1.0,1.0,,,3.7939
qwen35_9b,16000.0,out_domain,90.0,5,5,0,1.0,0.0,1.0,1.0,,,3.1182
qwen35_9b,16000.0,random_noise,0.0,5,5,0,1.0,0.0,1.0,1.0,,,2.8906
qwen35_9b,16000.0,random_noise,25.0,5,5,0,1.0,0.0,1.0,1.0,,,2.403
qwen35_9b,16000.0,random_noise,50.0,5,5,0,1.0,0.0,1.0,1.0,,,2.9387
qwen35_9b,16000.0,random_noise,75.0,5,5,0,1.0,0.0,1.0,1.0,,,1.9925
qwen35_9b,16000.0,random_noise,90.0,5,5,0,1.0,0.0,1.0,1.0,,,2.0847
qwen35_9b,32000.0,in_domain,0.0,5,5,0,1.0,0.0,1.0,1.0,,,3.9385
qwen35_9b,32000.0,in_domain,25.0,5,5,0,1.0,0.0,1.0,1.0,,,4.1392
qwen35_9b,32000.0,in_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,5.1209
qwen35_9b,32000.0,in_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,5.8057
qwen35_9b,32000.0,in_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,5.2359
qwen35_9b,32000.0,out_domain,0.0,5,5,0,1.0,0.0,1.0,1.0,,,5.5831
qwen35_9b,32000.0,out_domain,25.0,5,5,0,1.0,0.0,1.0,1.0,,,5.0459
qwen35_9b,32000.0,out_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,5.4409
qwen35_9b,32000.0,out_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,4.7468
qwen35_9b,32000.0,out_domain,90.0,4,4,0,1.0,0.0,1.0,1.0,,,6.0421
qwen35_9b,32000.0,random_noise,0.0,5,5,0,1.0,0.0,1.0,1.0,,,5.9632
qwen35_9b,32000.0,random_noise,25.0,4,4,0,1.0,0.0,1.0,1.0,,,5.7725
qwen35_9b,32000.0,random_noise,50.0,4,4,0,1.0,0.0,1.0,1.0,,,4.9927
qwen35_9b,32000.0,random_noise,75.0,4,4,0,1.0,0.0,1.0,1.0,,,4.9145
qwen35_9b,32000.0,random_noise,90.0,4,4,0,1.0,0.0,1.0,1.0,,,4.5681
qwen3_14b_no_thinking,8000.0,in_domain,0.0,2,2,0,1.0,0.0,1.0,1.0,,,2.5468
qwen3_14b_no_thinking,8000.0,in_domain,25.0,2,2,0,1.0,0.0,1.0,1.0,,,3.5102
qwen3_14b_no_thinking,8000.0,in_domain,50.0,2,2,0,1.0,0.0,1.0,1.0,,,2.9238
qwen3_14b_no_thinking,8000.0,in_domain,75.0,2,2,0,1.0,0.0,1.0,1.0,,,1.723
qwen3_14b_no_thinking,8000.0,in_domain,90.0,2,2,0,1.0,0.0,1.0,1.0,,,3.6322
qwen3_14b_no_thinking,8000.0,out_domain,0.0,3,3,0,1.0,0.0,1.0,1.0,,,3.0519
qwen3_14b_no_thinking,8000.0,out_domain,25.0,1,1,0,1.0,0.0,1.0,1.0,,,1.988
qwen3_14b_no_thinking,8000.0,out_domain,50.0,1,1,0,1.0,0.0,1.0,1.0,,,2.0782
qwen3_14b_no_thinking,8000.0,out_domain,75.0,3,3,0,1.0,0.0,1.0,1.0,,,2.4721
qwen3_14b_no_thinking,8000.0,out_domain,90.0,3,3,0,1.0,0.0,1.0,1.0,,,2.4219
qwen3_14b_no_thinking,8000.0,random_noise,0.0,3,3,0,1.0,0.0,1.0,1.0,,,2.7386
qwen3_14b_no_thinking,8000.0,random_noise,25.0,4,4,0,1.0,0.0,1.0,1.0,,,29.5422
qwen3_14b_no_thinking,8000.0,random_noise,50.0,2,2,0,1.0,0.0,1.0,1.0,,,3.0247
qwen3_14b_no_thinking,8000.0,random_noise,75.0,3,3,0,1.0,0.0,1.0,1.0,,,2.256
qwen3_14b_no_thinking,8000.0,random_noise,90.0,1,1,0,1.0,0.0,1.0,1.0,,,2.4813
qwen3_14b_no_thinking,16000.0,in_domain,0.0,4,4,0,1.0,0.0,1.0,1.0,,,3.4653
qwen3_14b_no_thinking,16000.0,in_domain,25.0,2,2,0,1.0,0.0,1.0,1.0,,,3.803
qwen3_14b_no_thinking,16000.0,in_domain,50.0,5,5,0,1.0,0.0,1.0,1.0,,,3.7563
qwen3_14b_no_thinking,16000.0,in_domain,75.0,2,2,0,1.0,0.0,1.0,1.0,,,4.2042
qwen3_14b_no_thinking,16000.0,in_domain,90.0,3,3,0,1.0,0.0,1.0,1.0,,,5.0561
qwen3_14b_no_thinking,16000.0,out_domain,0.0,3,3,0,1.0,0.0,1.0,1.0,,,37.2857
qwen3_14b_no_thinking,16000.0,out_domain,25.0,2,2,0,1.0,0.0,1.0,1.0,,,4.5076
qwen3_14b_no_thinking,16000.0,out_domain,50.0,4,4,0,1.0,0.0,1.0,1.0,,,3.7016
qwen3_14b_no_thinking,16000.0,out_domain,75.0,3,3,0,1.0,0.0,1.0,1.0,,,30.3826
qwen3_14b_no_thinking,16000.0,out_domain,90.0,2,2,0,1.0,0.0,1.0,1.0,,,3.915
qwen3_14b_no_thinking,16000.0,random_noise,0.0,3,3,0,1.0,0.0,1.0,1.0,,,3.6197
qwen3_14b_no_thinking,16000.0,random_noise,25.0,3,3,0,1.0,0.0,1.0,1.0,,,3.382
qwen3_14b_no_thinking,16000.0,random_noise,50.0,2,2,0,1.0,0.0,1.0,1.0,,,4.4438
qwen3_14b_no_thinking,16000.0,random_noise,75.0,4,4,0,1.0,0.0,1.0,1.0,,,3.7926
qwen3_14b_no_thinking,16000.0,random_noise,90.0,5,5,0,1.0,0.0,1.0,1.0,,,10.9027
qwen3_14b_no_thinking,32000.0,in_domain,0.0,3,3,0,1.0,0.0,1.0,1.0,,,9.6873
qwen3_14b_no_thinking,32000.0,in_domain,25.0,2,2,0,1.0,0.0,1.0,1.0,,,5.6875
qwen3_14b_no_thinking,32000.0,in_domain,50.0,2,2,0,1.0,0.0,1.0,1.0,,,7.0871
qwen3_14b_no_thinking,32000.0,in_domain,75.0,4,4,0,1.0,0.0,1.0,1.0,,,7.2348
qwen3_14b_no_thinking,32000.0,in_domain,90.0,2,2,0,1.0,0.0,1.0,1.0,,,5.3533
