model,length,similarity,distance,n_total,n_success,n_error,coverage,error_rate,score_mean,score_all,f1_mean,rouge_l_mean,latency_mean
qwen35_122b_a10b,8000.0,same_name_same_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,1.9683
qwen35_122b_a10b,8000.0,same_name_same_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,3.1141
qwen35_122b_a10b,16000.0,completely_different,far,1,1,0,1.0,0.0,1.0,1.0,,,7.7622
qwen35_122b_a10b,16000.0,completely_different,medium,3,3,0,1.0,0.0,1.0,1.0,,,51.6996
qwen35_122b_a10b,16000.0,completely_different,near,3,3,0,1.0,0.0,1.0,1.0,,,2.4137
qwen35_122b_a10b,16000.0,diff_name_same_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,28.1139
qwen35_122b_a10b,16000.0,diff_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,4.917
qwen35_122b_a10b,16000.0,diff_name_same_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,24.2249
qwen35_122b_a10b,16000.0,same_name_diff_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,5.1172
qwen35_122b_a10b,16000.0,same_name_diff_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,4.7756
qwen35_122b_a10b,16000.0,same_name_diff_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,3.6408
qwen35_122b_a10b,16000.0,same_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,11.1734
qwen35_122b_a10b,16000.0,same_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,5.4258
qwen35_122b_a10b,16000.0,same_name_same_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,3.1804
qwen35_122b_a10b,32000.0,completely_different,far,3,3,0,1.0,0.0,1.0,1.0,,,4.5391
qwen35_122b_a10b,32000.0,completely_different,medium,2,2,0,1.0,0.0,1.0,1.0,,,3.9968
qwen35_122b_a10b,32000.0,completely_different,near,2,2,0,1.0,0.0,1.0,1.0,,,30.9043
qwen35_122b_a10b,32000.0,diff_name_same_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,12.56
qwen35_122b_a10b,32000.0,diff_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,13.2243
qwen35_122b_a10b,32000.0,diff_name_same_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,68.9385
qwen35_122b_a10b,32000.0,same_name_diff_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,3.2114
qwen35_122b_a10b,32000.0,same_name_diff_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,6.3838
qwen35_122b_a10b,32000.0,same_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,4.4736
qwen35_122b_a10b,32000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,6.0594
qwen35_27b,8000.0,completely_different,far,3,3,0,1.0,0.0,1.0,1.0,,,21.7454
qwen35_27b,8000.0,completely_different,medium,3,3,0,1.0,0.0,1.0,1.0,,,5.9044
qwen35_27b,8000.0,completely_different,near,3,3,0,1.0,0.0,1.0,1.0,,,3.3868
qwen35_27b,8000.0,diff_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,8.6311
qwen35_27b,8000.0,diff_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,4.8884
qwen35_27b,8000.0,diff_name_same_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,3.1402
qwen35_27b,8000.0,same_name_diff_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,6.694
qwen35_27b,8000.0,same_name_diff_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,5.5452
qwen35_27b,8000.0,same_name_diff_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,28.5723
qwen35_27b,8000.0,same_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,3.7106
qwen35_27b,8000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,5.9363
qwen35_27b,8000.0,same_name_same_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,55.1884
qwen35_27b,16000.0,completely_different,far,3,3,0,1.0,0.0,1.0,1.0,,,5.3829
qwen35_27b,16000.0,completely_different,medium,3,3,0,1.0,0.0,1.0,1.0,,,8.2818
qwen35_27b,16000.0,completely_different,near,3,3,0,1.0,0.0,1.0,1.0,,,5.53
qwen35_27b,16000.0,diff_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,22.5831
qwen35_27b,16000.0,diff_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,4.1222
qwen35_27b,16000.0,diff_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,8.6098
qwen35_27b,16000.0,same_name_diff_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,7.7511
qwen35_27b,16000.0,same_name_diff_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,26.1995
qwen35_27b,16000.0,same_name_diff_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,6.3119
qwen35_27b,16000.0,same_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,5.4498
qwen35_27b,16000.0,same_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,6.8686
qwen35_27b,16000.0,same_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,9.0838
qwen35_27b,32000.0,completely_different,far,3,3,0,1.0,0.0,1.0,1.0,,,9.8827
qwen35_27b,32000.0,completely_different,medium,3,3,0,1.0,0.0,1.0,1.0,,,29.1166
qwen35_27b,32000.0,completely_different,near,3,3,0,1.0,0.0,1.0,1.0,,,10.2855
qwen35_27b,32000.0,diff_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,13.8146
qwen35_27b,32000.0,diff_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,8.8544
qwen35_27b,32000.0,diff_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,8.7951
qwen35_27b,32000.0,same_name_diff_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,9.5546
qwen35_27b,32000.0,same_name_diff_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,11.1371
qwen35_27b,32000.0,same_name_diff_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,12.6538
qwen35_27b,32000.0,same_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,9.2757
qwen35_27b,32000.0,same_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,34.8725
qwen35_27b,32000.0,same_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,12.3777
qwen35_35b_a3b,8000.0,completely_different,far,3,3,0,1.0,0.0,1.0,1.0,,,1.5631
qwen35_35b_a3b,8000.0,completely_different,medium,3,3,0,1.0,0.0,1.0,1.0,,,2.4751
qwen35_35b_a3b,8000.0,completely_different,near,3,3,0,1.0,0.0,1.0,1.0,,,1.987
qwen35_35b_a3b,8000.0,diff_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,2.0956
qwen35_35b_a3b,8000.0,diff_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,1.3572
qwen35_35b_a3b,8000.0,diff_name_same_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,1.7407
qwen35_35b_a3b,8000.0,same_name_diff_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,2.2396
qwen35_35b_a3b,8000.0,same_name_diff_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,2.1777
qwen35_35b_a3b,8000.0,same_name_diff_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,1.6167
qwen35_35b_a3b,8000.0,same_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,1.7081
qwen35_35b_a3b,8000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,1.0067
qwen35_35b_a3b,8000.0,same_name_same_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,1.7535
qwen35_35b_a3b,16000.0,completely_different,far,3,3,0,1.0,0.0,1.0,1.0,,,4.6679
qwen35_35b_a3b,16000.0,completely_different,medium,3,3,0,1.0,0.0,1.0,1.0,,,2.5864
qwen35_35b_a3b,16000.0,completely_different,near,3,3,0,1.0,0.0,1.0,1.0,,,2.2443
qwen35_35b_a3b,16000.0,diff_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,2.651
qwen35_35b_a3b,16000.0,diff_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,2.1036
qwen35_35b_a3b,16000.0,diff_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,3.0453
qwen35_35b_a3b,16000.0,same_name_diff_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,19.8784
qwen35_35b_a3b,16000.0,same_name_diff_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,3.9822
qwen35_35b_a3b,16000.0,same_name_diff_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,2.5094
qwen35_35b_a3b,16000.0,same_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,2.5712
qwen35_35b_a3b,16000.0,same_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,2.413
qwen35_35b_a3b,16000.0,same_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,2.5284
qwen35_35b_a3b,32000.0,completely_different,far,3,3,0,1.0,0.0,1.0,1.0,,,11.8768
qwen35_35b_a3b,32000.0,completely_different,medium,3,3,0,1.0,0.0,1.0,1.0,,,4.1702
qwen35_35b_a3b,32000.0,completely_different,near,3,3,0,1.0,0.0,1.0,1.0,,,5.1519
qwen35_35b_a3b,32000.0,diff_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,4.1163
qwen35_35b_a3b,32000.0,diff_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,3.9104
qwen35_35b_a3b,32000.0,diff_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,3.7365
qwen35_35b_a3b,32000.0,same_name_diff_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,3.8656
qwen35_35b_a3b,32000.0,same_name_diff_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,4.9787
qwen35_35b_a3b,32000.0,same_name_diff_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,2.6086
qwen35_35b_a3b,32000.0,same_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,3.7446
qwen35_35b_a3b,32000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,3.3422
qwen35_35b_a3b,32000.0,same_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,4.1395
qwen35_9b,8000.0,completely_different,far,3,3,0,1.0,0.0,1.0,1.0,,,2.1729
qwen35_9b,8000.0,completely_different,medium,3,3,0,1.0,0.0,1.0,1.0,,,1.8248
qwen35_9b,8000.0,completely_different,near,3,3,0,1.0,0.0,1.0,1.0,,,3.3053
qwen35_9b,8000.0,diff_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,2.3227
qwen35_9b,8000.0,diff_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,2.8244
qwen35_9b,8000.0,diff_name_same_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,1.3863
qwen35_9b,8000.0,same_name_diff_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,1.7596
qwen35_9b,8000.0,same_name_diff_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,1.5467
qwen35_9b,8000.0,same_name_diff_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,2.1115
qwen35_9b,8000.0,same_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,2.2005
qwen35_9b,8000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,2.0968
qwen35_9b,8000.0,same_name_same_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,7.7694
qwen35_9b,16000.0,completely_different,far,3,3,0,1.0,0.0,1.0,1.0,,,3.1841
qwen35_9b,16000.0,completely_different,medium,3,3,0,1.0,0.0,1.0,1.0,,,3.2576
qwen35_9b,16000.0,completely_different,near,3,3,0,1.0,0.0,1.0,1.0,,,3.1924
qwen35_9b,16000.0,diff_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,3.296
qwen35_9b,16000.0,diff_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,3.785
qwen35_9b,16000.0,diff_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,4.0626
qwen35_9b,16000.0,same_name_diff_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,4.0182
qwen35_9b,16000.0,same_name_diff_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,3.601
qwen35_9b,16000.0,same_name_diff_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,3.4392
qwen35_9b,16000.0,same_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,2.9515
qwen35_9b,16000.0,same_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,2.9813
qwen35_9b,16000.0,same_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,3.5323
qwen35_9b,32000.0,completely_different,far,3,3,0,1.0,0.0,1.0,1.0,,,5.546
qwen35_9b,32000.0,completely_different,medium,3,3,0,1.0,0.0,1.0,1.0,,,5.6948
qwen35_9b,32000.0,completely_different,near,3,3,0,1.0,0.0,1.0,1.0,,,6.0622
qwen35_9b,32000.0,diff_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,4.6026
qwen35_9b,32000.0,diff_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,5.4644
qwen35_9b,32000.0,diff_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,5.8217
qwen35_9b,32000.0,same_name_diff_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,5.7114
qwen35_9b,32000.0,same_name_diff_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,5.9064
qwen35_9b,32000.0,same_name_diff_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,23.6926
qwen35_9b,32000.0,same_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,4.8595
qwen35_9b,32000.0,same_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,6.2528
qwen35_9b,32000.0,same_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,16.269
qwen3_14b_no_thinking,8000.0,completely_different,medium,1,1,0,1.0,0.0,1.0,1.0,,,2.36
qwen3_14b_no_thinking,8000.0,completely_different,near,3,3,0,1.0,0.0,1.0,1.0,,,5.8943
qwen3_14b_no_thinking,8000.0,diff_name_same_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,2.0201
qwen3_14b_no_thinking,8000.0,diff_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,3.1768
qwen3_14b_no_thinking,8000.0,same_name_diff_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,4.1947
qwen3_14b_no_thinking,8000.0,same_name_diff_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,2.0394
qwen3_14b_no_thinking,8000.0,same_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,2.9022
qwen3_14b_no_thinking,8000.0,same_name_same_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,5.3406
qwen3_14b_no_thinking,8000.0,same_name_same_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,1.9758
qwen3_14b_no_thinking,16000.0,completely_different,far,3,3,0,1.0,0.0,1.0,1.0,,,3.5033
qwen3_14b_no_thinking,16000.0,completely_different,near,3,3,0,1.0,0.0,1.0,1.0,,,5.1434
qwen3_14b_no_thinking,16000.0,diff_name_same_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,3.1356
qwen3_14b_no_thinking,16000.0,diff_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,3.8842
qwen3_14b_no_thinking,16000.0,diff_name_same_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,110.2716
qwen3_14b_no_thinking,16000.0,same_name_diff_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,3.1906
qwen3_14b_no_thinking,16000.0,same_name_diff_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,5.532
qwen3_14b_no_thinking,16000.0,same_name_diff_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,3.0961
qwen3_14b_no_thinking,16000.0,same_name_same_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,2.7096
qwen3_14b_no_thinking,16000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,3.9237
qwen3_14b_no_thinking,16000.0,same_name_same_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,4.1261
qwen3_14b_no_thinking,32000.0,completely_different,far,3,3,0,1.0,0.0,1.0,1.0,,,7.9914
qwen3_14b_no_thinking,32000.0,completely_different,medium,1,1,0,1.0,0.0,1.0,1.0,,,5.3465
qwen3_14b_no_thinking,32000.0,completely_different,near,2,2,0,1.0,0.0,1.0,1.0,,,5.5193
qwen3_14b_no_thinking,32000.0,diff_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,7.0129
qwen3_14b_no_thinking,32000.0,diff_name_same_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,5.0927
qwen3_14b_no_thinking,32000.0,diff_name_same_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,7.0435
qwen3_14b_no_thinking,32000.0,same_name_diff_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,8.6011
qwen3_14b_no_thinking,32000.0,same_name_diff_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,8.3242
qwen3_14b_no_thinking,32000.0,same_name_diff_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,7.8568
qwen3_14b_no_thinking,32000.0,same_name_same_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,4.7439
qwen3_14b_no_thinking,32000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,5.6151
qwen3_14b_no_thinking,32000.0,same_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,6.5229
qwen3_14b_thinking,8000.0,completely_different,medium,2,2,0,1.0,0.0,1.0,1.0,,,1.8499
qwen3_14b_thinking,8000.0,completely_different,near,2,2,0,1.0,0.0,1.0,1.0,,,3.0747
qwen3_14b_thinking,8000.0,diff_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,2.4677
qwen3_14b_thinking,8000.0,diff_name_same_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,2.8375
qwen3_14b_thinking,8000.0,diff_name_same_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,2.2562
qwen3_14b_thinking,8000.0,same_name_diff_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,2.4412
qwen3_14b_thinking,8000.0,same_name_diff_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,2.3245
qwen3_14b_thinking,8000.0,same_name_diff_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,3.6018
qwen3_14b_thinking,8000.0,same_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,2.6253
qwen3_14b_thinking,8000.0,same_name_same_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,1.6316
qwen3_14b_thinking,16000.0,completely_different,far,1,1,0,1.0,0.0,1.0,1.0,,,4.7571
qwen3_14b_thinking,16000.0,completely_different,medium,3,3,0,1.0,0.0,1.0,1.0,,,4.0158
qwen3_14b_thinking,16000.0,completely_different,near,3,3,0,1.0,0.0,1.0,1.0,,,5.0242
qwen3_14b_thinking,16000.0,diff_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,3.9324
qwen3_14b_thinking,16000.0,diff_name_same_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,2.7617
qwen3_14b_thinking,16000.0,same_name_diff_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,3.8888
qwen3_14b_thinking,16000.0,same_name_diff_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,4.1626
qwen3_14b_thinking,16000.0,same_name_diff_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,4.5403
qwen3_14b_thinking,16000.0,same_name_same_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,2.9141
qwen3_14b_thinking,16000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,4.5764
qwen3_14b_thinking,16000.0,same_name_same_domain,near,2,2,0,1.0,0.0,0.5,0.5,,,3.4942
qwen3_14b_thinking,32000.0,completely_different,far,1,1,0,1.0,0.0,1.0,1.0,,,8.8889
qwen3_14b_thinking,32000.0,completely_different,medium,1,1,0,1.0,0.0,1.0,1.0,,,13.9508
qwen3_14b_thinking,32000.0,completely_different,near,2,2,0,1.0,0.0,1.0,1.0,,,8.5392
qwen3_14b_thinking,32000.0,diff_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,9.0484
qwen3_14b_thinking,32000.0,diff_name_same_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,5.8535
qwen3_14b_thinking,32000.0,diff_name_same_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,6.9772
qwen3_14b_thinking,32000.0,same_name_diff_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,6.9708
qwen3_14b_thinking,32000.0,same_name_diff_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,8.1315
qwen3_14b_thinking,32000.0,same_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,7.8617
qwen3_14b_thinking,32000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,8.5329
qwen3_14b_thinking,32000.0,same_name_same_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,6.831
qwen3_8b,8000.0,completely_different,far,3,3,0,1.0,0.0,1.0,1.0,,,7.5062
qwen3_8b,8000.0,completely_different,medium,3,3,0,1.0,0.0,1.0,1.0,,,1.6587
qwen3_8b,8000.0,completely_different,near,3,3,0,1.0,0.0,1.0,1.0,,,3.3649
qwen3_8b,8000.0,diff_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,2.1201
qwen3_8b,8000.0,diff_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,2.2838
qwen3_8b,8000.0,diff_name_same_domain,near,2,2,0,1.0,0.0,0.5,0.5,,,2.4412
qwen3_8b,8000.0,same_name_diff_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,2.1076
qwen3_8b,8000.0,same_name_diff_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,2.7244
qwen3_8b,8000.0,same_name_diff_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,2.2664
qwen3_8b,8000.0,same_name_same_domain,far,2,2,0,1.0,0.0,0.5,0.5,,,9.9518
qwen3_8b,8000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,1.8997
qwen3_8b,8000.0,same_name_same_domain,near,2,2,0,1.0,0.0,0.5,0.5,,,2.0
qwen3_8b,16000.0,completely_different,far,2,2,0,1.0,0.0,1.0,1.0,,,9.246
qwen3_8b,16000.0,completely_different,medium,3,3,0,1.0,0.0,0.6667,0.6667,,,3.3599
qwen3_8b,16000.0,completely_different,near,3,3,0,1.0,0.0,0.6667,0.6667,,,2.9567
qwen3_8b,16000.0,diff_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,2.5899
qwen3_8b,16000.0,diff_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,3.0157
qwen3_8b,16000.0,diff_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,4.2715
qwen3_8b,16000.0,same_name_diff_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,39.4628
qwen3_8b,16000.0,same_name_diff_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,9.1574
