experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,chain_type,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type,source_aggregate,dataset_status_label
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,4000,10,,,,,,,,,50,50,1.0,,,4.01817737599602,0.9733880999847315,21.009463434974897,0.0,,,0.020000000000000018,0.020000000000000018,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,4000,25,,,,,,,,,50,50,1.0,,,3.654798937998712,1.3117408500402234,14.307235195074421,0.0,,,0.020000000000000018,0.020000000000000018,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,4000,50,,,,,,,,,50,50,0.98,,,5.004124565999955,1.311579349974636,32.37982389500243,0.0,,,0.020000000000000018,0.020000000000000018,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,4000,75,,,,,,,,,50,50,1.0,,,2.234603572010528,0.9093541500042193,7.44633088504197,0.0,,,0.020000000000000018,0.020000000000000018,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,4000,90,,,,,,,,,50,50,1.0,,,2.381883395998739,1.329453150043264,9.995938714931253,0.0,,,0.020000000000000018,0.020000000000000018,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,8000,10,,,,,,,,,50,50,1.0,,,2.2851622899924404,1.6535867999773473,5.592701980005941,0.0,,,0.010000000000000009,0.01010101010101011,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,8000,25,,,,,,,,,50,50,0.98,,,3.0381703520123846,1.45040740002878,11.481593089998931,0.0,,,0.010000000000000009,0.01010101010101011,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,8000,50,,,,,,,,,50,50,0.98,,,2.2299277040059677,1.3862551999627613,6.063850710022962,0.0,,,0.010000000000000009,0.01010101010101011,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,8000,75,,,,,,,,,50,50,0.98,,,2.990598557991907,1.5797330499626696,8.657077915017721,0.0,,,0.010000000000000009,0.01010101010101011,,,,correct,pac_A_position.csv,PAC A position
pac,A_position,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,8000,90,,,,,,,,,50,50,0.98,,,5.760450868015178,1.5892990000429563,22.68140485507314,0.0,,,0.010000000000000009,0.01010101010101011,,,,correct,pac_A_position.csv,PAC A position
